feature,padj,fold,model
ENOPH1,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
LINC02054,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
GAS2L1,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
TLX1,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
ADGRB1,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
KCTD16,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
PCDHA7,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
KLHL11,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
OR7E25P,0.0354416618095872,3,RF_max_depth=2_min_samples_leaf=5
AC021351.1,0.036040641588008,3,RF_max_depth=2_min_samples_leaf=5
DDX43,0.036040641588008,3,RF_max_depth=2_min_samples_leaf=5
KCNA2,0.036040641588008,3,RF_max_depth=2_min_samples_leaf=5
DDX25,0.03650543227565041,3,RF_max_depth=2_min_samples_leaf=5
DCSTAMP,0.03678789567818994,3,RF_max_depth=2_min_samples_leaf=5
KIF1A,0.03678789567818994,3,RF_max_depth=2_min_samples_leaf=5
DUX4L34,0.03685273702471296,3,RF_max_depth=2_min_samples_leaf=5
GAGE1,0.03685273702471296,3,RF_max_depth=2_min_samples_leaf=5
CHRNA2,0.03685273702471296,3,RF_max_depth=2_min_samples_leaf=5
HHATL,0.03694650135444695,3,RF_max_depth=2_min_samples_leaf=5
ZMYND10,0.038876800643459844,3,RF_max_depth=2_min_samples_leaf=5
ARHGEF26-AS1,0.038887830628702706,3,RF_max_depth=2_min_samples_leaf=5
RGMA,0.040110584994110556,3,RF_max_depth=2_min_samples_leaf=5
SLC25A33,0.04064616288677423,3,RF_max_depth=2_min_samples_leaf=5
AC012370.2,0.04064616288677423,3,RF_max_depth=2_min_samples_leaf=5
ROR2,0.04064616288677423,3,RF_max_depth=2_min_samples_leaf=5
