feature,pvalue,fold,model
C18orf15,0.010913405825805468,3,RF_max_depth=2_min_samples_leaf=5
NPAP1,0.010972706337182954,3,RF_max_depth=2_min_samples_leaf=5
PRPF40B,0.011055172839591234,3,RF_max_depth=2_min_samples_leaf=5
NR4A1,0.011193530861423719,3,RF_max_depth=2_min_samples_leaf=5
CSPG4P10,0.01130720253393466,3,RF_max_depth=2_min_samples_leaf=5
FBXO40,0.011441344043875918,3,RF_max_depth=2_min_samples_leaf=5
PCDHB13,0.011460607990295526,3,RF_max_depth=2_min_samples_leaf=5
CRYBG1,0.011714655519291184,3,RF_max_depth=2_min_samples_leaf=5
LST1,0.01190273722334655,3,RF_max_depth=2_min_samples_leaf=5
CHRNA4,0.011930159300392441,3,RF_max_depth=2_min_samples_leaf=5
ANO10,0.012204382734624288,3,RF_max_depth=2_min_samples_leaf=5
TRIM36,0.01221971259498272,3,RF_max_depth=2_min_samples_leaf=5
ROR2,0.012336089591298753,3,RF_max_depth=2_min_samples_leaf=5
TRIM29,0.012356633969268872,3,RF_max_depth=2_min_samples_leaf=5
CDH3,0.012413219121786008,3,RF_max_depth=2_min_samples_leaf=5
RPAP1,0.01247519441071376,3,RF_max_depth=2_min_samples_leaf=5
NPAS1,0.01252610172120465,3,RF_max_depth=2_min_samples_leaf=5
ZMYND10,0.012669755631200754,3,RF_max_depth=2_min_samples_leaf=5
NPHS1,0.012674096792569764,3,RF_max_depth=2_min_samples_leaf=5
GTF2H2,0.012711511625961699,3,RF_max_depth=2_min_samples_leaf=5
MRGPRX3,0.012822714105567025,3,RF_max_depth=2_min_samples_leaf=5
NRXN3,0.012826026027539553,3,RF_max_depth=2_min_samples_leaf=5
SEC31B,0.013006829082737098,3,RF_max_depth=2_min_samples_leaf=5
DPF3,0.01350372387725372,3,RF_max_depth=2_min_samples_leaf=5
SLITRK5,0.013511459462387816,3,RF_max_depth=2_min_samples_leaf=5
VGF,0.013533496133544692,3,RF_max_depth=2_min_samples_leaf=5
MT-TS2,0.013642449072814158,3,RF_max_depth=2_min_samples_leaf=5
SNX30,0.013748737350742776,3,RF_max_depth=2_min_samples_leaf=5
IGLC5,0.013845231281275225,3,RF_max_depth=2_min_samples_leaf=5
ANKS1B,0.013884488953910151,3,RF_max_depth=2_min_samples_leaf=5
EFCAB6,0.01389302200613735,3,RF_max_depth=2_min_samples_leaf=5
ABHD1,0.013938061685780906,3,RF_max_depth=2_min_samples_leaf=5
IGHD,0.014032990663833771,3,RF_max_depth=2_min_samples_leaf=5
ADGRB1,0.014041234791300648,3,RF_max_depth=2_min_samples_leaf=5
DUX4L17,0.014067050703222953,3,RF_max_depth=2_min_samples_leaf=5
