gene,padj,fold,model
C5orf17,0.020253715992435948,3,LR_C=0.001
AL138820.1,0.020754185741669994,3,LR_C=0.001
TSPAN16,0.020754185741669994,3,LR_C=0.001
IFNL1,0.020754185741669994,3,LR_C=0.001
ZNF679,0.020754185741669994,3,LR_C=0.001
UPK2,0.020754712277194852,3,LR_C=0.001
AC239798.2,0.020783361511227658,3,LR_C=0.001
FAM90A28P,0.021221074418733367,3,LR_C=0.001
C6orf52,0.02145653120292996,3,LR_C=0.001
INAFM2,0.02145653120292996,3,LR_C=0.001
PPDPFL,0.02145653120292996,3,LR_C=0.001
FFAR1,0.021478674102608227,3,LR_C=0.001
KHDC1,0.021504498212400334,3,LR_C=0.001
HIGD2B,0.021567578653555085,3,LR_C=0.001
INHA,0.021567578653555085,3,LR_C=0.001
SGCZ,0.022179920499129983,3,LR_C=0.001
MUCL1,0.022179920499129983,3,LR_C=0.001
OR8K5,0.022179920499129983,3,LR_C=0.001
SHISA3,0.022179920499129983,3,LR_C=0.001
AC090515.5,0.022179920499129983,3,LR_C=0.001
OR2W3,0.022179920499129983,3,LR_C=0.001
GML,0.022179920499129983,3,LR_C=0.001
C16orf78,0.02233376213660119,3,LR_C=0.001
OR1L3,0.02233376213660119,3,LR_C=0.001
C8orf74,0.02233376213660119,3,LR_C=0.001
PTGER1,0.02233376213660119,3,LR_C=0.001
C2orf83,0.02233376213660119,3,LR_C=0.001
LMLN2,0.022525114279871923,3,LR_C=0.001
AL589743.3,0.022875649735034115,3,LR_C=0.001
CIAPIN1P,0.023584742826429403,3,LR_C=0.001
SPACA1,0.023691956979151194,3,LR_C=0.001
TLX2,0.023913747921057615,3,LR_C=0.001
RHOA-IT1,0.024602635614022397,3,LR_C=0.001
KLHL41,0.024960859033448912,3,LR_C=0.001
WNT1,0.025031712629879795,3,LR_C=0.001
GPR149,0.0253606762475196,3,LR_C=0.001
VAX2,0.025923541168369525,3,LR_C=0.001
ZNF280A,0.025923541168369525,3,LR_C=0.001
OR2M5,0.02625481001732466,3,LR_C=0.001
U73166.1,0.026444809239549328,3,LR_C=0.001
FAM177B,0.026444809239549328,3,LR_C=0.001
FDCSP,0.026478444457494407,3,LR_C=0.001
KRTAP21-2,0.02678789725375651,3,LR_C=0.001
AC092127.1,0.027082213358308613,3,LR_C=0.001
TBC1D21,0.027238666548564765,3,LR_C=0.001
AC026468.1,0.027238666548564765,3,LR_C=0.001
NCR2,0.027238666548564765,3,LR_C=0.001
AC009113.1,0.027238666548564765,3,LR_C=0.001
AC007952.9,0.027238666548564765,3,LR_C=0.001
SLAMF9,0.027238666548564765,3,LR_C=0.001
RASSF10,0.027300279735954672,3,LR_C=0.001
GPR143,0.027300279735954672,3,LR_C=0.001
AC010538.1,0.027448725741733696,3,LR_C=0.001
SERPINA13P,0.027448725741733696,3,LR_C=0.001
BX276092.9,0.027738999694085335,3,LR_C=0.001
NEUROG2,0.028107271739950736,3,LR_C=0.001
RWDD4P1,0.028107271739950736,3,LR_C=0.001
KCNV1,0.028476568994889526,3,LR_C=0.001
IRGC,0.028476568994889526,3,LR_C=0.001
AC023310.1,0.02902062421591175,3,LR_C=0.001
JHDM1D-AS1,0.02924148495932061,3,LR_C=0.001
MT-CO1,0.02924148495932061,3,LR_C=0.001
IGHV1-58,0.029627403064097946,3,LR_C=0.001
CHRNA3,0.02982092004212631,3,LR_C=0.001
DQX1,0.02982092004212631,3,LR_C=0.001
GPAT2P2,0.030015122780838552,3,LR_C=0.001
OR52R1,0.03003284732985637,3,LR_C=0.001
C17orf98,0.030097579772352997,3,LR_C=0.001
OR52L1,0.030216753980034972,3,LR_C=0.001
TMEM174,0.030388555216073237,3,LR_C=0.001
PTCRA,0.030599240420079946,3,LR_C=0.001
MYL4,0.03100287323512565,3,LR_C=0.001
LPAR4,0.03155896324088166,3,LR_C=0.001
OR7E26P,0.032041088227059804,3,LR_C=0.001
AF186192.1,0.03256728373100144,3,LR_C=0.001
BPIFC,0.03273355757742095,3,LR_C=0.001
FAM47B,0.03278332421570266,3,LR_C=0.001
AL512770.1,0.03278332421570266,3,LR_C=0.001
PTGES2-AS1,0.032837965076932686,3,LR_C=0.001
AL031595.2,0.03330192832146371,3,LR_C=0.001
SBF2-AS1,0.033307817917094716,3,LR_C=0.001
BPIFB2,0.03339426485562948,3,LR_C=0.001
HOXA11,0.03587517154042598,3,LR_C=0.001
GK2,0.035897157044494164,3,LR_C=0.001
OR1F2P,0.035898160725198115,3,LR_C=0.001
AP000357.1,0.035898160725198115,3,LR_C=0.001
CELA2B,0.035898160725198115,3,LR_C=0.001
DBET,0.035898160725198115,3,LR_C=0.001
PDE6H,0.035898160725198115,3,LR_C=0.001
RLN2,0.03665650552697278,3,LR_C=0.001
A1BG,0.03700714662985853,3,LR_C=0.001
IGHV3OR16-9,0.03700714662985853,3,LR_C=0.001
AC120114.4,0.03700714662985853,3,LR_C=0.001
AC104791.2,0.038238155486517655,3,LR_C=0.001
