,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CALM2,402.7892715387752,-1.6288186770918385,0.8510498724309347,-1.913893333230036,0.055633786421186895,0.886691031134804
COL4A2,1476.3463334937173,-1.4351577779138567,0.7508127571114159,-1.9114722869591414,0.055943914881467334,0.886691031134804
HMGN1,340.1131584287411,-1.396588115287969,0.7323538588210556,-1.9069853984741727,0.05652247833795223,0.886691031134804
NCK2,57.62182087792672,-1.4665421900585445,0.7697948670428951,-1.9051077798065192,0.0567660623303258,0.886691031134804
BCAP31,279.6360705957755,-1.841748406897287,0.96826226964535,-1.9021172926338157,0.05715582221458491,0.886691031134804
TPD52L2,125.4702649433515,-1.7361638577062612,0.9129822615522412,-1.9016402955676892,0.05721819615325593,0.886691031134804
KPNB1,560.1774669927013,-1.4811967591493445,0.7826598076157217,-1.8925167036002921,0.05842217024357863,0.886691031134804
CYFIP1,620.658861589559,-1.6031174611301837,0.8477815100759736,-1.8909559150287685,0.05863022935819259,0.886691031134804
SYTL4,156.3989068126843,-1.6834161922898672,0.8908288701001268,-1.8897189446730165,0.058795559018106174,0.886691031134804
ECM2,156.3298295873074,-2.096856278433647,1.1163011642932048,-1.878396570303041,0.0603269343637122,0.886691031134804
FTCD,841.2060309606065,-1.8454253699634966,0.9833292067985874,-1.87671164163996,0.060557626191516986,0.886691031134804
CETN2,168.46776302832438,-2.3346668271357074,1.2454670038774325,-1.8745312560407774,0.060857238177347964,0.886691031134804
ITGAE,103.29979436767232,1.853327055063731,0.9889813560868594,1.8739757262936296,0.0609337708515164,0.886691031134804
SPPL2A,272.4421643263837,-1.2210035224339906,0.6543810589812481,-1.865890685061805,0.062056661103344235,0.886691031134804
HIST1H4C,250.3283794669014,-2.169276323673606,1.163053436637074,-1.8651561960437417,0.062159513497442455,0.886691031134804
LHFPL2,75.75190904513326,-1.8889138665514427,1.0172870413630473,-1.8568150283527802,0.06333747485505355,0.886691031134804
AP2B1,506.9378286134699,-1.620442897344682,0.8736155699940011,-1.854869524996915,0.063614860781341,0.886691031134804
POSTN,620.2254693396716,-2.062565260740434,1.1148801853139618,-1.8500331137911414,0.06430877705501896,0.886691031134804
EIF3F,484.31587373181605,-1.7814304517572541,0.9645369900198393,-1.8469280807163366,0.06475756433228497,0.886691031134804
QSOX1,346.03492837651345,-1.5870706594486312,0.8593741549666631,-1.8467749469498496,0.06477976428641863,0.886691031134804
CLDN7,72.2585383681693,-2.061902626727319,1.1175765861314537,-1.8449765790680135,0.06504094566570401,0.886691031134804
LYN,244.36966990755442,-1.8422874243978902,1.0004357081790956,-1.84148507428934,0.06555050587342016,0.886691031134804
PM20D2,96.64543594671038,-1.992940292854245,1.0851743383676133,-1.8365162374297845,0.06628134287218615,0.886691031134804
COL15A1,342.38594859490837,-1.6900253007119648,0.9258256797085228,-1.8254249560716815,0.06793692614682025,0.886691031134804
TSN,192.34857597734796,-1.9649924754912798,1.0765202804713279,-1.8253185853878722,0.06795296714142994,0.886691031134804
SPINK1,318.63677191053074,-2.650293286884393,1.4526056982150692,-1.8245097689903165,0.06807504081879183,0.886691031134804
LGALS3,111.9996345309805,-1.8232674299373977,1.001605476975671,-1.8203449080996639,0.06870649651149476,0.886691031134804
SET,1079.8448219587754,-1.4829423272379436,0.8152725552657345,-1.8189528368884993,0.06891862577479566,0.886691031134804
ACOX1,787.9752175185074,-1.2356818074493028,0.6826147786938482,-1.8102183632966788,0.07026193099997716,0.886691031134804
SUMO2,401.6140640221463,-1.6524079147817452,0.9163872941684272,-1.8031763701844181,0.07136052027641315,0.886691031134804
