feature,pvalue,fold,model
IGLC5,0.009482267261043412,1,RF_max_depth=2_min_samples_leaf=10
IGKV3-11,0.009824215411721612,1,RF_max_depth=2_min_samples_leaf=10
LINC01419,0.010147549019301236,1,RF_max_depth=2_min_samples_leaf=10
IGKV3-7,0.010438182613592566,1,RF_max_depth=2_min_samples_leaf=10
FAM240B,0.01172242408064868,1,RF_max_depth=2_min_samples_leaf=10
AC024581.2,0.012241506174618073,1,RF_max_depth=2_min_samples_leaf=10
ANKHD1-EIF4EBP3,0.012468584462429115,1,RF_max_depth=2_min_samples_leaf=10
AC011468.4,0.012519918969010531,1,RF_max_depth=2_min_samples_leaf=10
AC027097.1,0.0125367047799792,1,RF_max_depth=2_min_samples_leaf=10
IGKV1-17,0.013403114762024698,1,RF_max_depth=2_min_samples_leaf=10
BACH1-IT1,0.013639221771367012,1,RF_max_depth=2_min_samples_leaf=10
RPL22P7,0.013712533380665005,1,RF_max_depth=2_min_samples_leaf=10
AC068987.3,0.014349425963747858,1,RF_max_depth=2_min_samples_leaf=10
N4BP2L2-IT2,0.014459169714950041,1,RF_max_depth=2_min_samples_leaf=10
NPM1P9,0.0145554614953388,1,RF_max_depth=2_min_samples_leaf=10
AL590609.2,0.014661278266297966,1,RF_max_depth=2_min_samples_leaf=10
AC011468.1,0.014957319247719819,1,RF_max_depth=2_min_samples_leaf=10
RF00405,0.015245233259743697,1,RF_max_depth=2_min_samples_leaf=10
BMS1P17,0.015290226992043092,1,RF_max_depth=2_min_samples_leaf=10
P3H2-AS1,0.015377867364117864,1,RF_max_depth=2_min_samples_leaf=10
CCND2,0.015628402798433604,1,RF_max_depth=2_min_samples_leaf=10
RNA5SP22,0.015862263950954095,1,RF_max_depth=2_min_samples_leaf=10
PRNCR1,0.01601432987115537,1,RF_max_depth=2_min_samples_leaf=10
IGKV3D-11,0.016194098464209935,1,RF_max_depth=2_min_samples_leaf=10
AC007495.1,0.016217137772350985,1,RF_max_depth=2_min_samples_leaf=10
RN7SL191P,0.01626112297623689,1,RF_max_depth=2_min_samples_leaf=10
NARF-AS1,0.016560677582000412,1,RF_max_depth=2_min_samples_leaf=10
IGKV1-16,0.01663133643172037,1,RF_max_depth=2_min_samples_leaf=10
RPL10P13,0.016873777359424077,1,RF_max_depth=2_min_samples_leaf=10
AC074141.1,0.016873895471247895,1,RF_max_depth=2_min_samples_leaf=10
AC025048.4,0.017068691051778266,1,RF_max_depth=2_min_samples_leaf=10
AC078962.1,0.017144810627613145,1,RF_max_depth=2_min_samples_leaf=10
AL590617.2,0.017256591179475006,1,RF_max_depth=2_min_samples_leaf=10
IGHJ4,0.017346217654090963,1,RF_max_depth=2_min_samples_leaf=10
IGKV1D-33,0.017662953136343317,1,RF_max_depth=2_min_samples_leaf=10
