feature,pvalue,fold,model
AC116050.1,0.009751396270499552,2,LR_C=0.01
AC106760.2,0.009927338202138916,2,LR_C=0.01
IGHV3-38,0.010106043038070391,2,LR_C=0.01
STAT4,0.010212312154636596,2,LR_C=0.01
CDH19,0.010473826162701205,2,LR_C=0.01
SSU72P3,0.010607229207989956,2,LR_C=0.01
RAMP3,0.01082029950788287,2,LR_C=0.01
AC096543.2,0.01089450466146735,2,LR_C=0.01
RPL7AP60,0.010907173871454966,2,LR_C=0.01
AC073648.6,0.010927824096647302,2,LR_C=0.01
BCL2L2-PABPN1,0.010960796164585956,2,LR_C=0.01
ZNF679,0.011021074530405104,2,LR_C=0.01
AC010834.3,0.0022806622108913063,3,LR_C=0.01
AC023818.1,0.006722199991429062,3,LR_C=0.01
RN7SL711P,0.007783248990890127,3,LR_C=0.01
C18orf15,0.008513950724870418,3,LR_C=0.01
IGLC5,0.009440238778279963,3,LR_C=0.01
AC127502.1,0.009559941912486918,3,LR_C=0.01
APOL1,0.010220807206149735,3,LR_C=0.01
LENG8-AS1,0.011475527065831633,3,LR_C=0.01
CCDC144A,0.012123518602137475,3,LR_C=0.01
LINC01419,0.012219291584045071,3,LR_C=0.01
EREG,0.012731884938143536,3,LR_C=0.01
AC066616.2,0.013085578180229318,3,LR_C=0.01
ADAMTSL4-AS1,0.013523143686221031,3,LR_C=0.01
AC007878.1,0.01440233934562763,3,LR_C=0.01
AC009088.4,0.019603014555275276,3,LR_C=0.01
AL355338.1,0.01985170639077272,3,LR_C=0.01
RNA5SP252,0.019952962018621546,3,LR_C=0.01
RN7SKP292,0.020437108909472677,3,LR_C=0.01
AP000873.4,0.02273999400090854,3,LR_C=0.01
AC022034.3,0.024961165997934246,3,LR_C=0.01
IGHV3-11,0.025161521995035768,3,LR_C=0.01
RPL22P7,0.025512018412288014,3,LR_C=0.01
FRRS1L,0.025563925049954875,3,LR_C=0.01
IGKV3-11,0.026009067531019336,3,LR_C=0.01
CCDC26,0.027019751490876688,3,LR_C=0.01
SAPCD2P4,0.027198441647852678,3,LR_C=0.01
SFT2D2,0.027388275937389503,3,LR_C=0.01
SPCS3,0.029390650422631788,3,LR_C=0.01
AP001107.9,0.02960830302595167,3,LR_C=0.01
AC008957.2,0.030022626011773784,3,LR_C=0.01
